group2	day_post_inf	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_means	group2_means	diff_means	stat_diff_means
HF/HF	-3	Chow	faith_pd	23	19	-2.0236763370710222	0.04300346485059528	0.07676601118144703	ns	13.828671069726083	9.977758674143772	3.850912395582311	0
HF/HF	-8	Chow	faith_pd	22	18	-4.133477896966041	3.573146733421081e-5	1.463141562718566e-4	***	49.9327415278864	40.076181612714215	9.856559915172184	9.856559915172184
HF/HF	0	Chow	faith_pd	24	18	-4.476843037349713	7.575490296105825e-6	2.525163432035275e-5	****	18.760575244562524	10.928511797319874	7.83206344724265	7.83206344724265
HF/HF	3	Chow	faith_pd	32	6	-3.259554045042493	0.0011158751818006163	0.002789687954501541	**	28.282590518459006	11.345670519973824	16.93691999848518	16.93691999848518
HF/LF	-3	Chow	faith_pd	23	28	1.4047209430868086	0.1601042755597892	0.22872039365684171	ns	13.828671069726083	16.79232847727267	-2.9636574075465862	0
HF/LF	-3	HF/HF	faith_pd	19	28	3.440687628111522	5.802379821244751e-4	0.0019341266070815838	**	9.977758674143772	16.79232847727267	-6.814569803128897	-6.814569803128897
HF/LF	-8	HF/HF	faith_pd	18	25	-0.6139723283517912	0.5392336130544646	0.6202496028178267	ns	40.076181612714215	38.922542179689444	1.1536394330247717	0
HF/LF	-8	Chow	faith_pd	22	25	-5.143218639460253	2.700710054373868e-7	2.700710054373868e-6	****	49.9327415278864	38.922542179689444	11.010199348196956	11.010199348196956
HF/LF	0	Chow	faith_pd	24	28	-5.3851786125802334	7.23727434577393e-8	3.618637172886965e-7	****	18.760575244562524	11.563505670358653	7.197069574203871	7.197069574203871
HF/LF	0	HF/HF	faith_pd	18	28	-0.3380148711191192	0.7353519811519562	0.817057756835507	ns	10.928511797319874	11.563505670358653	-0.6349938730387787	0
HF/LF	3	HF/HF	faith_pd	6	29	-0.23041588116468054	0.8177686217393874	0.9086318019326527	ns	11.345670519973824	12.676421159531076	-1.3307506395572517	0
HF/LF	3	Chow	faith_pd	32	29	-6.059057871311097	1.369211290211545e-9	1.369211290211545e-8	****	28.282590518459006	12.676421159531076	15.60616935892793	15.60616935892793
LF/HF	-3	Chow	faith_pd	23	18	-2.2611040043170756	0.023752817484550222	0.05938204371137555	ns	13.828671069726083	9.97678182423912	3.851889245486962	0
LF/HF	-3	HF/HF	faith_pd	19	18	-0.2559587768925689	0.797982668449356	0.8377207799334592	ns	9.977758674143772	9.97678182423912	9.768499046511891e-4	0
LF/HF	-3	HF/LF	faith_pd	28	18	-3.663797554088355	2.4850322437143865e-4	0.0018249715998120844	**	16.79232847727267	9.97678182423912	6.8155466530335485	6.8155466530335485
LF/HF	-8	HF/HF	faith_pd	18	17	-0.016968109197043797	0.9864620572821445	0.9864620572821445	ns	40.076181612714215	38.70248606564471	1.3736955470695023	0
LF/HF	-8	Chow	faith_pd	22	17	-4.08596366950109	4.3894246881556977e-5	1.463141562718566e-4	***	49.9327415278864	38.70248606564471	11.230255462241686	11.230255462241686
LF/HF	-8	HF/LF	faith_pd	25	17	0.5854805477276801	0.558224642536044	0.6202496028178267	ns	38.922542179689444	38.70248606564471	0.22005611404473058	0
LF/HF	0	HF/LF	faith_pd	28	17	1.407041069583885	0.15941521087263993	0.2656920181210666	ns	11.563505670358653	12.415644927423958	-0.8521392570653052	0
LF/HF	0	HF/HF	faith_pd	18	17	0.9772496842203928	0.3284455562451244	0.46920793749303485	ns	10.928511797319874	12.415644927423958	-1.487133130104084	0
LF/HF	0	Chow	faith_pd	24	17	-3.360848923368566	7.770331514751806e-4	0.0019425828786879514	**	18.760575244562524	12.415644927423958	6.344930317138566	6.344930317138566
LF/HF	3	Chow	faith_pd	32	11	-4.534490959104005	5.774257516098351e-6	1.924752505366117e-5	****	28.282590518459006	10.783637159440582	17.498953359018422	17.498953359018422
LF/HF	3	HF/HF	faith_pd	6	11	-0.2655213882343733	0.7906078355548879	0.9086318019326527	ns	11.345670519973824	10.783637159440582	0.5620333605332419	0
LF/HF	3	HF/LF	faith_pd	29	11	-0.08872007663377911	0.9293043766068984	0.9293043766068984	ns	12.676421159531076	10.783637159440582	1.8927840000904936	0
LF/LF	-3	HF/HF	faith_pd	19	27	0.20480973612489053	0.8377207799334592	0.8377207799334592	ns	9.977758674143772	10.743737715072038	-0.7659790409282667	0
LF/LF	-3	LF/HF	faith_pd	18	27	0.4782248256222306	0.6324901947694732	0.7906127434618415	ns	9.97678182423912	10.743737715072038	-0.7669558908329179	0
LF/LF	-3	Chow	faith_pd	23	27	-1.994846658757196	0.04605960670886822	0.07676601118144703	ns	13.828671069726083	10.743737715072038	3.0849333546540443	0
LF/LF	-3	HF/LF	faith_pd	28	27	-3.564180797579933	3.649943199624169e-4	0.0018249715998120844	**	16.79232847727267	10.743737715072038	6.0485907622006305	6.0485907622006305
LF/LF	-8	HF/HF	faith_pd	18	26	1.1151346069140822	0.2647927434915484	0.37857601872889984	ns	40.076181612714215	42.51217254554458	-2.4359909328303644	0
LF/LF	-8	Chow	faith_pd	22	26	-3.3546377849417497	7.946896592197945e-4	0.0019867241480494863	**	49.9327415278864	42.51217254554458	7.42056898234182	7.42056898234182
LF/LF	-8	LF/HF	faith_pd	17	26	1.1146435198286773	0.2650032131102299	0.37857601872889984	ns	38.70248606564471	42.51217254554458	-3.8096864798998666	0
LF/LF	-8	HF/LF	faith_pd	25	26	1.8982422478851495	0.05766417780857963	0.11532835561715926	ns	38.922542179689444	42.51217254554458	-3.589630365855136	0
LF/LF	0	HF/LF	faith_pd	28	28	-0.008015833549418141	0.9936043586595104	0.9936043586595104	ns	11.563505670358653	10.50385505659666	1.0596506137619937	0
LF/LF	0	LF/HF	faith_pd	17	28	-1.414008648431228	0.15735936319749022	0.2656920181210666	ns	12.415644927423958	10.50385505659666	1.911789870827299	0
LF/LF	0	HF/HF	faith_pd	18	28	-0.3451060921915488	0.7300146135896172	0.817057756835507	ns	10.928511797319874	10.50385505659666	0.4246567407232149	0
LF/LF	0	Chow	faith_pd	24	28	-5.392879976345096	6.933726954824204e-8	3.618637172886965e-7	****	18.760575244562524	10.50385505659666	8.256720187965865	8.256720187965865
LF/LF	3	HF/HF	faith_pd	6	29	0.4880852536499153	0.6254894557064412	0.893556365294916	ns	11.345670519973824	14.49267849442459	-3.1470079744507657	0
LF/LF	3	HF/LF	faith_pd	29	29	1.2270742922885438	0.21979466917484522	0.43958933834969044	ns	12.676421159531076	14.49267849442459	-1.816257334893514	0
LF/LF	3	Chow	faith_pd	32	29	-4.802171760667164	1.5695397009279966e-6	7.847698504639982e-6	****	28.282590518459006	14.49267849442459	13.789912024034416	13.789912024034416
LF/LF	3	LF/HF	faith_pd	11	29	0.9987427276362072	0.3179193365636851	0.5298655609394752	ns	10.783637159440582	14.49267849442459	-3.7090413349840077	0
